Values, R:100000C:6e-05E:12
Time,Vc
0.1942, 0.382182
0.1944, 0.382569
0.1946, 0.382956
0.1948, 0.383343
0.195, 0.383731
0.1952, 0.384118
0.1954, 0.384505
0.1956, 0.384892
0.1958, 0.385279
0.196, 0.385666
0.1962, 0.386054
0.1964, 0.386441
0.1966, 0.386828
0.1968, 0.387215
0.197, 0.387602
0.1972, 0.387989
0.1974, 0.388376
0.1976, 0.388763
0.1978, 0.38915
0.198, 0.389537
0.1982, 0.389924
0.1984, 0.390311
0.1986, 0.390698
0.1988, 0.391085
0.199, 0.391472
0.1992, 0.391859
0.1994, 0.392246
0.1996, 0.392633
0.1998, 0.39302
0.2, 0.393407
0.2002, 0.393794
0.2004, 0.394181
0.2006, 0.394567
0.2008, 0.394954
0.201, 0.395341
0.2012, 0.395728
0.2014, 0.396115
0.2016, 0.396501
0.2018, 0.396888
0.202, 0.397275
0.2022, 0.397662
0.2024, 0.398049
0.2026, 0.398435
0.2028, 0.398822
0.203, 0.399209
0.2032, 0.399595
0.2034, 0.399982
0.2036, 0.400369
0.2038, 0.400755
0.204, 0.401142
0.2042, 0.401529
0.2044, 0.401915
0.2046, 0.402302
0.2048, 0.402688
0.205, 0.403075
0.2052, 0.403461
0.2054, 0.403848
0.2056, 0.404235
0.2058, 0.404621
0.206, 0.405008
0.2062, 0.405394
0.2064, 0.405781
0.2066, 0.406167
0.2068, 0.406553
0.207, 0.40694
0.2072, 0.407326
0.2074, 0.407713
0.2076, 0.408099
0.2078, 0.408486
0.208, 0.408872
0.2082, 0.409258
0.2084, 0.409645
0.2086, 0.410031
0.2088, 0.410417
0.209, 0.410804
0.2092, 0.41119
0.2094, 0.411576
0.2096, 0.411962
0.2098, 0.412349
0.21, 0.412735
0.2102, 0.413121
0.2104, 0.413507
0.2106, 0.413894
0.2108, 0.41428
0.211, 0.414666
0.2112, 0.415052
0.2114, 0.415438
0.2116, 0.415825
0.2118, 0.416211
0.212, 0.416597
0.2122, 0.416983
0.2124, 0.417369
0.2126, 0.417755
0.2128, 0.418141
0.213, 0.418527
0.2132, 0.418913
0.2134, 0.419299
0.2136, 0.419685
0.2138, 0.420071
0.214, 0.420457
0.2142, 0.420843
0.2144, 0.421229
0.2146, 0.421615
0.2148, 0.422001
0.215, 0.422387
0.2152, 0.422773
0.2154, 0.423159
0.2156, 0.423545
0.2158, 0.423931
0.216, 0.424316
0.2162, 0.424702
0.2164, 0.425088
0.2166, 0.425474
0.2168, 0.42586
0.217, 0.426246
0.2172, 0.426631
0.2174, 0.427017
0.2176, 0.427403
0.2178, 0.427789
0.218, 0.428174
0.2182, 0.42856
0.2184, 0.428946
0.2186, 0.429332
0.2188, 0.429717
0.219, 0.430103
0.2192, 0.430489
0.2194, 0.430874
0.2196, 0.43126
0.2198, 0.431645
0.22, 0.432031
0.2202, 0.432417
